i,j,x,y
2,22,4.045045039279138,26.542063422499382
2,23,3.965861036401665,27.71322894289174
2,24,3.8734992245272766,28.932121797685905
2,25,3.766393510544664,30.194052624409004
2,26,3.6409901388383252,31.497723359544587
2,27,3.492310446975935,32.844163617680806
2,28,3.3139661580024775,34.236224383004746
2,29,3.097640022389788,35.67868468927108
2,30,2.831886753082604,37.17914925158428
2,31,2.5,38.75
3,0,3.75,0.0
3,1,4.1712171097376665,1.6799237797057305
3,2,4.515511203955031,3.2760487653404673
3,3,4.798099968033698,4.798099968033698
3,4,5.03084393564261,6.253353979088651
3,5,5.223045305324456,7.647318671199252
3,6,5.382195684938877,8.984204332608973
3,7,5.514493895598569,10.267016224801292
3,8,5.625065326616157,11.49724743202879
3,9,5.7177816141234645,12.674196681056712
3,10,5.7945249056837875,13.794022666229061
3,11,5.853747845229898,14.84886037462747
3,12,5.891231964355488,15.908208067597961
3,13,5.929947371823531,16.946553684446656
3,14,5.9496736931880925,17.965455685000254
3,15,5.969071246474009,19.024597549588556
3,16,5.994572441386406,20.002579096562695
3,17,5.967378439290824,20.981130407673405
3,18,5.945832197147412,22.041984205799054
3,19,5.923357307001864,23.063849663806067
3,20,5.8806622252746905,24.107039596293774
3,21,5.8375166328171195,25.17355410041025
3,22,5.770349999754141,26.23851731909217
3,23,5.682132884770359,27.372808746800047
3,24,5.573490644552622,28.56937814097867
3,25,5.441462069090015,29.825183700449294
3,26,5.28087299770297,31.140334825624468
3,27,5.084979861574238,32.51721210145674
3,28,4.845521534019325,33.95990545308639
3,29,4.552324257803382,35.47409764603868
3,30,4.192577250598212,37.06740499272921
3,31,3.75,38.75
4,0,5.0,0.0
4,1,5.502458972221837,1.7736424055939828
4,2,5.915349188320892,3.4480419319698865
4,3,6.25335397908865,5.03084393564261
4,4,6.528711236258956,6.528711236258957
4,5,6.751477886641691,7.947490145686807
4,6,6.930005039883932,9.292368651260217
4,7,7.07140638930794,10.567819149317318
4,8,7.18185874933878,11.77721153889549
4,9,7.266540315707564,12.922057528664283
4,10,7.328924824919396,14.000984824442822
4,11,7.3691025530215235,15.008766360825351
4,12,7.382229843920434,16.02855048068619
4,13,7.400235266834003,17.02804320574415
4,14,7.40181542779907,18.016369955729132
4,15,7.412334478471824,19.05883384933301
4,16,7.441336683013462,20.002445187391604
4,17,7.410638859668742,20.94671543690958
4,18,7.397887470997901,21.991087085760633
4,19,7.393371051435451,22.982724099627355
4,20,7.370919103288394,23.9878097455954
4,21,7.351296533687905,25.01604191548855
4,22,7.301784405985682,26.036042814341396
4,23,7.225619924409415,27.13283850365752
4,24,7.121572612073143,28.30227012229447
4,25,6.984852548192875,29.543973095569076
4,26,6.808723082886389,30.860412099827293
4,27,6.585128083665413,32.25589189208895
4,28,6.304671730147762,33.735866472914694
4,29,5.956253645213764,35.30663212516018
4,30,5.526604966804907,36.97532449074398
4,31,5.0,38.75
5,0,6.25,0.0
5,1,6.811946081762299,1.8532369332251684
5,2,7.272903331524943,3.5922873029445976
5,3,7.647318671199251,5.223045305324456
5,4,7.947490145686804,6.751477886641693
5,5,8.18363287842734,8.18363287842734
5,6,8.364273816634686,9.525691940971281
5,7,8.49679124449586,10.783881927075665
5,8,8.587927065710167,11.964058743268808
5,9,8.644033243719042,13.070802286264614
5,10,8.670604211935702,14.10601288701073
5,11,8.67029922611451,15.067414916886442
5,12,8.634808419993423,16.057732901210215
5,13,8.611525738411695,17.0303377817295
5,14,8.577105927500137,18.009737990651164
5,15,8.568683371395895,19.069755398387294
5,16,8.603473198895555,20.001833833991235
5,17,8.567273434732234,20.93461210450067
5,18,8.573732161821635,21.996487511416085
5,19,8.605448899377507,22.979113637078598
5,20,8.624326363204522,23.95748346049843
